********************************************************************************
product = Open Liberty 25.0.0.3 (wlp-1.0.99.cl250320250310-1902)
wlp.install.dir = E:/2025/jakartaee-open-liberty/target/liberty/wlp/
java.home = C:\Program Files\Java\jdk-21
java.version = 21.0.5
java.runtime = Java(TM) SE Runtime Environment (21.0.5+9-LTS-239)
os = Windows 10 (10.0; amd64) (es_BO)
process = 4392@DESKTOP-GINSRT1
Classpath = E:\2025\jakartaee-open-liberty\target\liberty\wlp\bin\tools\ws-server.jar
Java Library path = C:\Program Files\Java\jdk-21\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\ATI Technologies\ATI.ACE\Core-Static;C:\Program Files\Git\cmd;C:\Program Files\Java\jdk-21\bin;C:\Program Files\PostgreSQL\16\bin;C:\Users\IE-pc3\AppData\Local\Microsoft\WindowsApps;C:\Users\IE-pc3\AppData\Local\spicetify;C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2023.3.5\bin;;C:\Program Files\heroku\bin;C:\Program Files\JetBrains\IntelliJ IDEA 2024.3.3\bin;;C:\Program Files\Java\jdk-21\bin;C:\Program Files\Git\cmd\git.exe;;.
********************************************************************************
[25/3/25, 19:10:07:609 VET] 0000002f com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0012I: El servidor ha instalado las características siguientes: [appAuthentication-3.0, appSecurity-5.0, beanValidation-3.0, cdi-4.0, concurrent-3.0, distributedMap-1.0, enterpriseBeansLite-4.0, expressionLanguage-5.0, faces-4.0, jdbc-4.2, jndi-1.0, jsonb-3.0, jsonp-2.1, managedBeans-2.0, pages-3.1, persistence-3.1, persistenceContainer-3.1, restfulWS-3.1, restfulWSClient-3.1, servlet-6.0, ssl-1.0, transportSecurity-1.0, webProfile-10.0, websocket-2.1].
[25/3/25, 19:10:07:636 VET] 0000002f com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0008I: La actualización de características se ha completado en 22,689 segundos.
[25/3/25, 19:10:07:637 VET] 0000002f com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0011I: El servidor defaultServer está preparado para ejecutar un planeta más inteligente. El servidor defaultServer se ha iniciado en 27,474 segundos.
[25/3/25, 19:10:08:194 VET] 00000033 org.jboss.resteasy.resteasy_jaxrs.i18n                       I RESTEASY002225: Deploying jakarta.ws.rs.core.Application: class com.indira.jakarta.hello.HelloApplication$Proxy$_$$_WeldClientProxy
[25/3/25, 19:10:08:383 VET] 00000033 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [jakartaee-open-liberty] [/] [com.indira.jakarta.hello.HelloApplication]: Inicialización satisfactoria.
[25/3/25, 19:10:46:275 VET] 0000002f com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [jakartaee-open-liberty] [/] [/Conexion.jsp]: Inicialización satisfactoria.
[25/3/25, 19:10:51:312 VET] 00000030 com.ibm.ws.webcontainer.extension                            W SRVE0190E: Archivo no encontrado: /Eliminar
[25/3/25, 19:11:40:954 VET] 00000033 com.ibm.ws.webcontainer.servlet                              I SRVE0253I: [jakartaee-open-liberty] [/] [/Conexion.jsp]: Destrucción satisfactoria.
[25/3/25, 19:11:40:961 VET] 00000033 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [jakartaee-open-liberty] [/] [/Conexion.jsp]: Inicialización satisfactoria.
[25/3/25, 19:11:43:465 VET] 00000033 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [jakartaee-open-liberty] [/] [com.indira.jakarta.controller.EliminarEstudianteServlet]: Inicialización satisfactoria.
